학번,학생이름,전화번호,주소,학년,학과
S0039,삼윤후,010-6503-5696,인천시 연수구 동춘동 926번지,3,D004
S0040,삼찬후,010-4841-7267,경북 경주시 성건동 684-9번지,2,D003
S0041,석서훈,010-2570-3755,전남 구례군 산동면 좌사리 110-1,2,D003
S0042,성성율,010-3597-6291,서울시 강북구 미아동 838-4번지,3,D003
S0043,소대권,010-7928-6410,경기도 성남시 분당구 삼평동 741,2,D010
S0044,소윤수,010-8026-1223,경남 김해시 장유면 관동리 1101-1번지,2,D010
S0045,순대영,010-8136-6928,경기도 과천시 막계동 33,2,D005
S0046,신찬영,010-5379-0911,충남 아산시 배방읍 장래리 1760 ,4,D008
S0047,심장호,010-2908-8495,광주시 서구 치평동 1223-3,3,D006
S0048,아동은,010-4726-2801,경기도 파주시 동패동 56,2,D010
S0049,야유신,010-8788-0134,경기도 일산시 서구 대화동 2606,1,D009
S0050,양동인,010-2438-8383,광주시 남구 진월동 259번지,2,D009
S0051,양은성,010-5658-0315,부산시 동래구 명륜동 569-12,3,D007
S0052,어민기,010-7118-1657,전북 김제시 검산동 844,1,D002
S0053,엄은진,010-5225-7060,경기도 용인시 처인구 김량장동 23-1번지,2,D004
S0054,여동은,010-2522-8993,충남 천안시 석북구 백석동 878번지,4,D007
S0055,여민국,010-1377-4059,경기도 수원시 권선구 금곡동 572-5,1,D010
S0056,연연재,010-5598-0595,서울시 영등포구 여의도동 23번지,4,D010
S0057,옥원준,010-5020-7647,강원도 원주시 문막읍 동화리 113번지,1,D010
S0058,옥채훈,010-1449-3867,서울시 광진구 구의동 611번지,1,D008
S0059,옹효성,010-6328-1881,충남 공주시 중동 67-3번지,3,D001
S0060,운윤태,010-2045-6717,인천시 서구 마전동 621-5,1,D002
S0061,원성빈,010-2482-2931,울산시 동구 서부동 315-34,2,D006
S0062,유민국,010-5647-9826,경기도 수원시 천천동 528-1,2,D009
S0063,유성율,010-8307-1403,충남 공주시 신관동 191-7번지,3,D005
S0064,유준호,010-8514-8177,경기도 안산시 상록구 본오동 874-11,4,D002
S0065,은채혁,010-5629-9176,충남 아산시 탕정면 명암리 931-1,1,D006
S0066,은현준,010-2043-2671,대전시 서구 도안동 963번지,2,D009
S0067,이윤진,010-4353-5871,전남 여수시 종화동 470,4,D007
S0068,전동원,010-2327-3504,인천시 송도 커넬워크 3동,3,D005
S0069,점재민,010-6967-8705,울산시 중구 태화동 593-17,2,D001
S0070,제갈동연,010-3671-5626,경기도 고양시 일산구 주엽2동 22번지,3,D001
S0071,제동희,010-1752-7167,경기도 용인시 기흥구 보라동 579-2,1,D009
S0072,제민기,010-2034-9764,부산시 해운대구 좌동 1270-5 103호,4,D001
S0073,제영후,010-6988-3250,경북 경주시 천군동 206-3,4,D001
S0074,제유상,010-7618-8516,경기도 남양주시 별내면 화점리 58-65,4,D004
S0075,지승현,010-7683-9965,충남 천안시 불당동 아산신도시 222,3,D004
S0076,진대원,010-1340-0266,부산시 연제구 연산동728-1번지,1,D003
S0077,진대윤,010-4611-9323,경기도 가평군 청평면 대성리 399-103,1,D002
S0078,진동혜,010-1524-0297,대전시 서구 도마동 29-32번지,3,D010
S0079,진승우,010-3267-1061,인천시 계양구 임학동 67-9,2,D006
S0080,진승일,010-2544-7664,경기도 수원시 영통구 광교신도시 2-51-1,1,D005
S0081,진승환,010-6257-5021,인천시 연수구 선학동 406-5번지,2,D009
S0082,초시민,010-9528-0992,서울시 동대문구 전농동 30-3,4,D001
S0083,초원혁,010-2227-7810,광주시 북구 운암동1044-2번지,3,D006
S0084,초재현,010-3634-1065,광주시 서구 금호동 762-5번지,2,D010
S0085,최장현,010-7502-1442,경북 경주시 북군동 57-24,4,D010
S0086,춘대권,010-1498-6008,충남 부여군 부여읍 구아리 96-4,1,D006
S0087,춘인규,010-4373-2440,경남 진주시 상대동 300-59번지,3,D009
S0088,춘찬영,010-4839-3403,울산시 중구 옥교동 95,1,D001
S0089,판한수,010-1082-6878,서울시 종로구 관철동 5-13 1층,1,D005
S0090,평윤섭,010-9492-8179,인천시 연수구 동춘동 937-3번지,3,D001
S0091,풍동해,010-4861-1789,서울시 중구 신당동 140-10 1층,1,D004
S0092,피태영,010-5653-7548,경기도 부천 원미구 상동 539-1 4층,3,D007
S0093,필영후,010-9306-8372,서울시 서대문구 성산로 250번지,4,D005
S0094,하재찬,010-2631-9875,대구시 달서구 감삼동 452-3,1,D001
S0095,함민서,010-2991-9774,경기도 수원시 영통구 광교신도시 13,3,D003
S0096,해송혁,010-1165-7148,전남 목포시 용당동 1088-8,1,D007
S0097,허시후,010-8216-2980,경남 거창군 거창읍 상림리 825번지,2,D004
S0098,황원혁,010-2485-4699,울산시 남구 달동 130-3번지,1,D007
S0099,흥동현,010-8217-6946,서울시 양천구 신정동 1183-9,3,D003
S0100,흥은성,010-5194-8436,경북 구미시 봉곡동 204-1,4,D001
